Moviename,Runtime (min),Genre,Rating,MPAA_Rating,Director,Actors,Votes,Year,Gross(M),Updated Genre
Stroszek,115,"Comedy, Drama",7.8,Not Rated,Werner Herzog,"Bruno S., Eva Mattes, Clemens Scheitz, Wilhelm von Homburg",14063,1977,0.0,Comedy
Seven Beauties,116,"Comedy, Drama, War",7.8,R,Lina Wertmüller,"Giancarlo Giannini, Fernando Rey, Shirley Stoler, Elena Fiore",5746,1975,0.01,Comedy
The Outlaw Josey Wales,135,Western,7.8,PG,Clint Eastwood,"Clint Eastwood, Sondra Locke, Chief Dan George, Bill McKinney",71656,1976,31.8,Western
"Ugly, Dirty and Bad",115,"Comedy, Drama",7.8,Not Rated,Ettore Scola,"Francesco Anniballi, Nino Manfredi, Maria Bosco, Giselda Castrini",8316,1976,0.01,Comedy
The Man Who Would Be King,129,"Adventure, History, War",7.8,PG,John Huston,"Sean Connery, Michael Caine, Christopher Plummer, Saeed Jaffrey",48037,1975,0.0,Adventure
"Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles",202,Drama,7.8,Not Rated,Chantal Akerman,"Delphine Seyrig, Jan Decorte, Henri Storck, Jacques Doniol-Valcroze",8642,1975,0.02,Drama
Kings of the Road,175,Drama,7.8,Not Rated,Wim Wenders,"Rüdiger Vogler, Hanns Zischler, Lisa Kreuzer, Rudolf Schündler",5694,1976,0.0,Drama
The Enigma of Kaspar Hauser,110,"Biography, Drama, History",7.8,Not Rated,Werner Herzog,"Bruno S., Walter Ladengast, Brigitte Mira, Willy Semmelrogge",17474,1974,0.0,Biography
The Conversation,113,"Drama, Mystery, Thriller",7.8,PG,Francis Ford Coppola,"Gene Hackman, John Cazale, Allen Garfield, Frederic Forrest",108510,1974,4.42,Drama
State of Siege,120,"Crime, Drama, Mystery",7.8,Not Rated,Costa-Gavras,"Yves Montand, Renato Salvatori, O.E. Hasse, Jacques Weber",5286,1972,1.13,Crime
Three Wishes for Cinderella,75,"Drama, Fantasy, Family",7.8,Not Rated,Václav Vorlícek,"Libuse Safránková, Pavel Trávnícek, Carola Braunbock, Rolf Hoppe",9615,1973,0.0,Drama
Fantastic Planet,72,"Animation, Sci-Fi",7.8,PG,René Laloux,"Barry Bostwick, Jennifer Drake, Eric Baugin, Jean Topart",29593,1973,0.19,Animation
The Day of the Jackal,143,"Crime, Drama, Thriller",7.8,PG,Fred Zinnemann,"Edward Fox, Terence Alexander, Michel Auclair, Alan Badel",40110,1973,16.06,Crime
Badlands,94,"Action, Crime, Drama",7.8,PG,Terrence Malick,"Martin Sheen, Sissy Spacek, Warren Oates, Ramon Bieri",71308,1973,0.0,Action
Lone Wolf and Cub: Sword of Vengeance,84,"Action, Adventure",7.8,Not Rated,Kenji Misumi,"Tomisaburô Wakayama, Fumio Watanabe, Gô Katô, Tomoko Mayama",7888,1972,0.0,Action
Cabaret,124,"Drama, Music, Musical",7.8,PG,Bob Fosse,"Liza Minnelli, Michael York, Helmut Griem, Joel Grey",53198,1972,42.77,Drama
Willy Wonka & the Chocolate Factory,100,"Family, Fantasy, Musical",7.8,G,Mel Stuart,"Gene Wilder, Jack Albertson, Peter Ostrum, Roy Kinnear",194329,1971,4.0,Family
Punishment Park,91,"Drama, Thriller",7.8,R,Peter Watkins,"Patrick Boland, Kent Foreman, Carmen Argenziano, Luke Johnson",6895,1971,0.0,Drama
The Devils,111,"Biography, Drama, History",7.8,R,Ken Russell,"Vanessa Redgrave, Oliver Reed, Dudley Sutton, Max Adrian",15562,1971,1.13,Biography
White Sun of the Desert,84,"Action, Adventure, Comedy",7.8,Not Rated,Vladimir Motyl,"Anatoliy Kuznetsov, Pavel Luspekayev, Spartak Mishulin, Kakhi Kavsadze",7085,1970,0.0,Action
Midnight Cowboy,113,Drama,7.8,R,John Schlesinger,"Dustin Hoffman, Jon Voight, Sylvia Miles, John McGiver",108543,1969,44.79,Drama
Wait Until Dark,108,Thriller,7.8,Not Rated,Terence Young,"Audrey Hepburn, Alan Arkin, Richard Crenna, Efrem Zimbalist Jr.",29992,1967,17.55,Thriller
Mouchette,81,Drama,7.8,Not Rated,Robert Bresson,"Nadine Nortier, Jean-Claude Guilbert, Marie Cardinal, Paul Hébert",11377,1967,0.0,Drama
Guess Who's Coming to Dinner,108,"Comedy, Drama",7.8,Approved,Stanley Kramer,"Spencer Tracy, Sidney Poitier, Katharine Hepburn, Katharine Houghton",44283,1967,56.7,Comedy
Bonnie and Clyde,111,"Action, Biography, Crime",7.8,R,Arthur Penn,"Warren Beatty, Faye Dunaway, Michael J. Pollard, Gene Hackman",110116,1967,0.0,Action
The Train,133,"Thriller, War",7.8,Not Rated,John Frankenheimer,"Burt Lancaster, Paul Scofield, Jeanne Moreau, Suzanne Flon",15992,1964,7.41,Thriller
Chimes at Midnight,115,"Comedy, Drama, History",7.8,Not Rated,Orson Welles,"Orson Welles, Jeanne Moreau, Margaret Rutherford, John Gielgud",8788,1965,0.12,Comedy
The Umbrellas of Cherbourg,91,"Drama, Musical, Romance",7.8,Not Rated,Jacques Demy,"Catherine Deneuve, Nino Castelnuovo, Anne Vernon, Marc Michel",26693,1964,0.03,Drama
My Fair Lady,170,"Drama, Family, Musical",7.8,G,George Cukor,"Audrey Hepburn, Rex Harrison, Stanley Holloway, Wilfrid Hyde-White",93370,1964,72.0,Drama
Mary Poppins,139,"Comedy, Family, Fantasy",7.8,G,Robert Stevenson,"Julie Andrews, Dick Van Dyke, David Tomlinson, Glynis Johns",167683,1964,102.27,Comedy
Becket,148,"Biography, Drama, History",7.8,PG-13,Peter Glenville,"Richard Burton, Peter O'Toole, John Gielgud, Gino Cervi",14522,1964,0.0,Biography
Crooks in Clover,105,"Action, Comedy, Crime",7.8,Not Rated,Georges Lautner,"Lino Ventura, Bernard Blier, Francis Blanche, Claude Rich",5884,1963,0.0,Action
Hud,112,"Drama, Western",7.8,Passed,Martin Ritt,"Paul Newman, Melvyn Douglas, Patricia Neal, Brandon De Wilde",21356,1963,10.0,Drama
America America,174,Drama,7.8,Approved,Elia Kazan,"Stathis Giallelis, Frank Wolff, Elena Karam, Harry Davis",5430,1963,0.0,Drama
L'Eclisse,126,"Drama, Romance",7.8,Not Rated,Michelangelo Antonioni,"Monica Vitti, Alain Delon, Francisco Rabal, Lilla Brignone",19329,1962,0.0,Drama
Mamma Roma,110,Drama,7.8,Not Rated,Pier Paolo Pasolini,"Anna Magnani, Ettore Garofolo, Franco Citti, Silvana Corsini",8993,1962,0.0,Drama
The Longest Day,178,"Action, Drama, History",7.8,G,Ken Annakin,"John Wayne, Robert Ryan, Richard Burton, Henry Fonda",54763,1962,39.1,Action
Birdman of Alcatraz,147,"Biography, Crime, Drama",7.8,Not Rated,John Frankenheimer,"Burt Lancaster, Karl Malden, Thelma Ritter, Neville Brand",17377,1962,0.0,Biography
Splendor in the Grass,124,"Drama, Romance",7.8,Not Rated,Elia Kazan,"Natalie Wood, Warren Beatty, Pat Hingle, Audrey Christie",20583,1961,8.72,Drama
Jules and Jim,105,"Drama, Romance",7.8,Not Rated,François Truffaut,"Jeanne Moreau, Oskar Werner, Henri Serre, Vanna Urbino",40528,1962,0.0,Drama
The Innocents,100,Horror,7.8,Not Rated,Jack Clayton,"Deborah Kerr, Peter Wyngarde, Megs Jenkins, Michael Redgrave",29653,1961,2.62,Horror
Le Doulos,108,"Crime, Thriller",7.8,Not Rated,Jean-Pierre Melville,"Jean-Paul Belmondo, Serge Reggiani, Jean Desailly, René Lefèvre",10430,1962,0.08,Crime
Two Women,101,"Drama, War",7.8,Not Rated,Vittorio De Sica,"Sophia Loren, Jean-Paul Belmondo, Raf Vallone, Eleonora Brown",10703,1960,0.0,Drama
The Children's Hour,108,"Drama, Romance",7.8,Not Rated,William Wyler,"Audrey Hepburn, Shirley MacLaine, James Garner, Miriam Hopkins",16074,1961,0.0,Drama
Last Year at Marienbad,94,"Drama, Mystery",7.8,Not Rated,Alain Resnais,"Delphine Seyrig, Giorgio Albertazzi, Sacha Pitoëff, Françoise Bertin",22093,1961,0.06,Drama
Purple Noon,118,"Crime, Drama, Thriller",7.8,PG-13,René Clément,"Alain Delon, Maurice Ronet, Marie Laforêt, Erno Crisa",15961,1960,0.0,Crime
Ice Cold in Alex,130,"Adventure, Drama, War",7.8,Approved,J. Lee Thompson,"John Mills, Anthony Quayle, Sylvia Syms, Harry Andrews",5656,1958,0.0,Adventure
Elmer Gantry,146,Drama,7.8,Approved,Richard Brooks,"Burt Lancaster, Jean Simmons, Arthur Kennedy, Dean Jagger",11351,1960,11.34,Drama
L'Avventura,144,"Drama, Mystery, Romance",7.8,Not Rated,Michelangelo Antonioni,"Gabriele Ferzetti, Monica Vitti, Lea Massari, Dominique Blanchar",29002,1960,0.0,Drama
Breathless,90,"Crime, Drama",7.8,Not Rated,Jean-Luc Godard,"Jean-Paul Belmondo, Jean Seberg, Daniel Boulanger, Henri-Jacques Huet",79047,1960,0.34,Crime
Imitation of Life,125,Drama,7.8,Not Rated,Douglas Sirk,"Lana Turner, John Gavin, Sandra Dee, Susan Kohner",15996,1959,13.99,Drama
Ashes and Diamonds,103,"Drama, Romance, War",7.8,Not Rated,Andrzej Wajda,"Zbigniew Cybulski, Ewa Krzyzewska, Waclaw Zastrzezynski, Adam Pawlikowski",11770,1958,0.0,Drama
Nazarin,94,Drama,7.8,Not Rated,Luis Buñuel,"Francisco Rabal, Marga López, Rita Macedo, Ignacio López Tarso",5802,1959,0.0,Drama
Le Notti Bianche,97,"Drama, Romance",7.8,Not Rated,Luchino Visconti,"Maria Schell, Marcello Mastroianni, Jean Marais, Marcella Rovena",7971,1957,0.0,Drama
Mon Oncle,116,Comedy,7.8,Not Rated,Jacques Tati,"Jacques Tati, Jean-Pierre Zola, Adrienne Servantie, Lucien Frégis",21740,1958,0.0,Comedy
Smiles of a Summer Night,109,"Comedy, Romance",7.8,Not Rated,Ingmar Bergman,"Ulla Jacobsson, Eva Dahlbeck, Harriet Andersson, Margit Carlqvist",13430,1955,0.0,Comedy
The Criminal Life of Archibaldo de la Cruz,89,"Comedy, Crime, Drama",7.8,Not Rated,Luis Buñuel,"Ernesto Alonso, Miroslava, Rita Macedo, Ariadne Welter",5165,1955,0.0,Comedy
The Quiet Man,129,"Comedy, Drama, Romance",7.8,Passed,John Ford,"John Wayne, Maureen O'Hara, Barry Fitzgerald, Ward Bond",37598,1952,10.55,Comedy
The Bad and the Beautiful,118,"Drama, Romance",7.8,Passed,Vincente Minnelli,"Lana Turner, Kirk Douglas, Walter Pidgeon, Dick Powell",14572,1952,0.0,Drama
A Place in the Sun,122,"Drama, Romance",7.8,Passed,George Stevens,"Montgomery Clift, Elizabeth Taylor, Shelley Winters, Anne Revere",22126,1951,0.0,Drama
The African Queen,105,"Adventure, Drama, Romance",7.8,PG,John Huston,"Humphrey Bogart, Katharine Hepburn, Robert Morley, Peter Bull",77255,1951,0.54,Adventure
Red River,133,"Drama, Western",7.8,Passed,Howard Hawks,"John Wayne, Montgomery Clift, Joanne Dru, Walter Brennan",30565,1948,0.0,Drama
Oliver Twist,105,Drama,7.8,Not Rated,David Lean,"Robert Newton, Alec Guinness, Kay Walsh, Francis L. Sullivan",12276,1948,0.0,Drama
Key Largo,100,"Action, Crime, Drama",7.8,Not Rated,John Huston,"Humphrey Bogart, Edward G. Robinson, Lauren Bacall, Lionel Barrymore",39927,1948,0.0,Action
Quai des Orfèvres,106,"Crime, Drama",7.8,Not Rated,Henri-Georges Clouzot,"Louis Jouvet, Simone Renant, Bernard Blier, Suzy Delair",5709,1947,0.03,Crime
Black Narcissus,101,Drama,7.8,Not Rated,Michael Powell,"Deborah Kerr, David Farrar, Flora Robson, Jenny Laird",24177,1947,0.0,Drama
My Darling Clementine,97,"Drama, Romance, Western",7.8,Passed,John Ford,"Henry Fonda, Linda Darnell, Victor Mature, Cathy Downs",23183,1946,0.0,Drama
The Killers,103,"Crime, Drama, Film-Noir",7.8,Passed,Robert Siodmak,"Burt Lancaster, Ava Gardner, Edmond O'Brien, Albert Dekker",20824,1946,0.0,Crime
Great Expectations,118,"Adventure, Drama, Mystery",7.8,Approved,David Lean,"John Mills, Valerie Hobson, Tony Wager, Jean Simmons",23892,1946,0.0,Adventure
Scarlet Street,102,"Drama, Film-Noir, Thriller",7.8,Approved,Fritz Lang,"Edward G. Robinson, Joan Bennett, Dan Duryea, Margaret Lindsay",16193,1945,0.0,Drama
"Ivan the Terrible, Part I",95,"Biography, Drama, History",7.8,Not Rated,Sergei M. Eisenstein,"Nikolay Cherkasov, Lyudmila Tselikovskaya, Serafima Birman, Mikhail Nazvanov",9832,1944,0.0,Biography
To Have and Have Not,100,"Adventure, Comedy, Film-Noir",7.8,Passed,Howard Hawks,"Humphrey Bogart, Lauren Bacall, Walter Brennan, Dolores Moran",33834,1944,0.0,Adventure
Gaslight,114,"Crime, Drama, Mystery",7.8,Passed,George Cukor,"Charles Boyer, Ingrid Bergman, Joseph Cotten, May Whitty",27633,1944,0.0,Crime
The Punch Bowl,97,Comedy,7.8,Not Rated,Helmut Weiss,"Heinz Rühmann, Karin Himboldt, Hilde Sessak, Erich Ponto",6089,1944,0.0,Comedy
Shadow of a Doubt,108,"Film-Noir, Thriller",7.8,PG,Alfred Hitchcock,"Teresa Wright, Joseph Cotten, Macdonald Carey, Henry Travers",63996,1943,0.0,Film-Noir
The Lady Eve,94,"Comedy, Romance",7.8,Passed,Preston Sturges,"Barbara Stanwyck, Henry Fonda, Charles Coburn, Eugene Pallette",20990,1941,0.0,Comedy
Ball of Fire,111,"Comedy, Romance",7.8,Approved,Howard Hawks,"Gary Cooper, Barbara Stanwyck, Oskar Homolka, Henry Travers",12198,1941,0.0,Comedy
Waterloo Bridge,108,"Drama, Romance, War",7.8,Passed,Mervyn LeRoy,"Vivien Leigh, Robert Taylor, Lucile Watson, Virginia Field",9796,1940,0.0,Drama
The Mortal Storm,100,Drama,7.8,Passed,Frank Borzage,"Margaret Sullavan, James Stewart, Robert Young, Frank Morgan",5196,1940,0.0,Drama
The Women,133,"Comedy, Drama",7.8,Not Rated,George Cukor,"Norma Shearer, Joan Crawford, Rosalind Russell, Mary Boland",13580,1939,2.27,Comedy
The Hunchback of Notre Dame,117,"Drama, Romance",7.8,Passed,William Dieterle,"Charles Laughton, Maureen O'Hara, Cedric Hardwicke, Thomas Mitchell",11190,1939,3.27,Drama
Port of Shadows,90,"Crime, Drama, Romance",7.8,Not Rated,Marcel Carné,"Jean Gabin, Michel Simon, Michèle Morgan, Pierre Brasseur",8990,1938,0.03,Crime
Pygmalion,89,"Comedy, Drama, Romance",7.8,Not Rated,Anthony Asquith,"Leslie Howard, Wendy Hiller, Wilfrid Lawson, Marie Lohr",8569,1938,3.05,Comedy
The Lady Vanishes,96,"Mystery, Thriller",7.8,Not Rated,Alfred Hitchcock,"Margaret Lockwood, Michael Redgrave, Paul Lukas, May Whitty",51293,1938,0.0,Mystery
Holiday,95,"Comedy, Romance",7.8,Passed,George Cukor,"Katharine Hepburn, Cary Grant, Doris Nolan, Lew Ayres",15986,1938,0.0,Comedy
Stage Door,92,"Comedy, Drama",7.8,Approved,Gregory La Cava,"Katharine Hepburn, Ginger Rogers, Adolphe Menjou, Gail Patrick",8307,1937,0.0,Comedy
Libeled Lady,98,"Comedy, Romance",7.8,Passed,Jack Conway,"Jean Harlow, William Powell, Myrna Loy, Spencer Tracy",7787,1936,0.0,Comedy
Dodsworth,101,"Drama, Romance",7.8,Passed,William Wyler,"Walter Huston, Ruth Chatterton, Paul Lukas, Mary Astor",8919,1936,0.0,Drama
Top Hat,101,"Comedy, Musical, Romance",7.8,Not Rated,Mark Sandrich,"Fred Astaire, Ginger Rogers, Edward Everett Horton, Erik Rhodes",18848,1935,3.88,Comedy
A Tale of Two Cities,128,"Drama, History, Romance",7.8,Passed,Jack Conway,"Ronald Colman, Elizabeth Allan, Edna May Oliver, Reginald Owen",5662,1935,0.0,Drama
The Bride of Frankenstein,75,"Drama, Horror, Sci-Fi",7.8,Not Rated,James Whale,"Boris Karloff, Elsa Lanchester, Colin Clive, Valerie Hobson",47108,1935,4.36,Drama
L'Atalante,89,"Comedy, Drama, Romance",7.8,Not Rated,Jean Vigo,"Dita Parlo, Jean Dasté, Gilles Margaritis, Louis Lefebvre",15562,1934,0.0,Comedy
Duck Soup,69,"Comedy, Musical",7.8,Not Rated,Leo McCarey,"Groucho Marx, Harpo Marx, Chico Marx, Zeppo Marx",59403,1933,0.0,Comedy
Frankenstein,70,"Drama, Horror, Sci-Fi",7.8,Passed,James Whale,"Colin Clive, Mae Clarke, Boris Karloff, John Boles",70485,1931,0.0,Drama
Pandora's Box,109,"Crime, Drama, Romance",7.8,Not Rated,Georg Wilhelm Pabst,"Louise Brooks, Fritz Kortner, Francis Lederer, Carl Goetz",10560,1929,0.01,Crime
Ben-Hur: A Tale of the Christ,143,"Adventure, Drama, Romance",7.8,Not Rated,Fred Niblo,"Ramon Novarro, Francis X. Bushman, May McAvoy, Betty Bronson",7577,1925,12.45,Adventure
The Adventures of Prince Achmed,80,"Animation, Adventure, Family",7.8,Not Rated,Lotte Reiniger,error,6056,1926,0.0,Animation
Our Hospitality,65,"Comedy, Romance, Thriller",7.8,Passed,John G. Blystone,error,11037,1923,1.17,Comedy
And Then We Danced,113,"Drama, Romance",7.7,Not Rated,Levan Akin,error,11688,2019,0.0,Drama
Corpus Christi,115,Drama,7.7,Unrated,Jan Komasa,error,17597,2019,0.0,Drama
Vakeel Saab,153,"Action, Crime, Drama",7.7,TV-14,Venu Sriram,error,11318,2021,0.0,Action
5th Borough,95,Crime,7.7,Not Rated,Steve Stanulis,error,5199,2020,0.0,Crime
Saand Ki Aankh,146,"Biography, Drama",7.7,PG,Tushar Hiranandani,error,6340,2019,0.0,Biography
Be With You,132,"Drama, Fantasy, Romance",7.7,PG-13,Jang-Hoon Lee,error,5397,2018,0.0,Drama
Kannum Kannum Kollaiyadithaal,160,"Drama, Romance, Thriller",7.7,PG,Desingh Periyasamy,error,6557,2020,0.0,Drama
The Mitchells vs the Machines,113,"Animation, Adventure, Comedy",7.7,PG,Michael Rianda,error,91589,2021,0.0,Animation
One Cut of the Dead,96,"Comedy, Drama, Horror",7.7,Not Rated,Shin'ichirô Ueda,error,22376,2017,0.0,Comedy
Sheeple,103,"Crime, Drama, Thriller",7.7,Not Rated,Houman Seyyedi,error,6167,2018,0.0,Crime
Muslum,136,"Biography, Drama, Music",7.7,Not Rated,Ketche,error,17641,2018,0.0,Biography
Mortal World,107,"Action, Comedy, Crime",7.7,Not Rated,Ali Atay,error,25470,2018,0.0,Action
Aile Arasinda,124,Comedy,7.7,Not Rated,Ozan Açiktan,error,22955,2017,0.0,Comedy
The Insult,113,"Crime, Drama, Thriller",7.7,R,Ziad Doueiri,error,16530,2017,1.0,Crime
Bharath Ane Nenu,173,"Action, Drama, Thriller",7.7,Not Rated,Koratala Siva,error,16756,2018,3.55,Action
Parmanu: The Story of Pokhran,129,"Action, Drama, History",7.7,Not Rated,Abhishek Sharma,error,23091,2018,0.0,Action
Newton,106,"Comedy, Drama",7.7,Not Rated,Amit Masurkar,error,19447,2017,0.0,Comedy
Sanju,155,"Biography, Comedy, Drama",7.7,TV-MA,Rajkumar Hirani,"Ranbir Kapoor, Paresh Rawal, Manisha Koirala, Vicky Kaushal",52238,2018,7.91,Biography
Roma,135,Drama,7.7,R,Alfonso Cuarón,"Yalitza Aparicio, Marina de Tavira, Diego Cortina Autrey, Carlos Peralta",152843,2018,0.0,Drama
Two Lottery Tickets,86,Comedy,7.7,Not Rated,Paul Negoescu,"Dorian Boguta, Dragos Bucur, Alexandru Papadopol, Andi Vasluianu",11198,2016,0.0,Comedy
God's Own Country,104,"Drama, Romance",7.7,Not Rated,Francis Lee,"Josh O'Connor, Alec Secareanu, Gemma Jones, Ian Hart",29329,2017,0.34,Drama
Deadpool 2,119,"Action, Adventure, Comedy",7.7,R,David Leitch,"Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison",542330,2018,324.59,Action
Wind River,107,"Crime, Drama, Mystery",7.7,R,Taylor Sheridan,"Elizabeth Olsen, Jeremy Renner, Graham Greene, Kelsey Asbille",238460,2017,33.8,Crime
Twin Peaks: The Missing Pieces,91,"Drama, Horror, Mystery",7.7,Not Rated,David Lynch,"Chris Isaak, Kiefer Sutherland, C.H. Evans, Sandra Kinder",10507,2014,0.0,Drama
The Salesman,124,Drama,7.7,PG-13,Asghar Farhadi,"Shahab Hosseini, Taraneh Alidoosti, Babak Karimi, Mina Sadati",58902,2016,2.4,Drama
Get Out,104,"Horror, Mystery, Thriller",7.7,R,Jordan Peele,"Daniel Kaluuya, Allison Williams, Bradley Whitford, Catherine Keener",550962,2017,176.04,Horror
Mission: Impossible - Fallout,147,"Action, Adventure, Thriller",7.7,PG-13,Christopher McQuarrie,"Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg",317108,2018,220.16,Action
Kapoor & Sons,132,"Comedy, Drama, Family",7.7,Not Rated,Shakun Batra,"Rishi Kapoor, Rajat Kapoor, Ratna Pathak Shah, Fawad Khan",25461,2016,2.61,Comedy
Mr. Church,104,"Comedy, Drama",7.7,PG-13,Bruce Beresford,"Eddie Murphy, Britt Robertson, Natascha McElhone, Xavier Samuel",28108,2016,0.69,Comedy
A Man Called Ove,116,"Comedy, Drama, Romance",7.7,PG-13,Hannes Holm,"Rolf Lassgård, Bahar Pars, Filip Berg, Ida Engvoll",52804,2015,3.36,Comedy
The Breadwinner,94,"Animation, Drama, Family",7.7,PG-13,Nora Twomey,"Saara Chaudry, Soma Chhaya, Noorin Gulamgaus, Laara Sadiq",24444,2017,0.31,Animation
Bogowie,120,"Biography, Drama",7.7,Not Rated,Lukasz Palkowski,"Tomasz Kot, Piotr Glowacki, Szymon Piotr Warszawski, Magdalena Czerwinska",6892,2014,0.0,Biography
The Last: Naruto the Movie,112,"Animation, Action, Adventure",7.7,TV-14,Tsuneo Kobayashi,"Junko Takeuchi, Nana Mizuki, Jun Fukuyama, Chie Nakamura",14203,2014,0.0,Animation
Ohm Shanthi Oshaana,136,"Comedy, Romance",7.7,Not Rated,Jude Anthany Joseph,"Nazriya Nazim, Nivin Pauly, Aju Varghese, Vineeth Sreenivasan",5424,2014,0.0,Comedy
Detective Byomkesh Bakshy!,139,"Action, Crime, Drama",7.7,Not Rated,Dibakar Banerjee,"Sushant Singh Rajput, Anand Tiwari, Neeraj Kabi, Divya Menon",22684,2015,0.58,Action
What We Do in the Shadows,86,"Comedy, Horror",7.7,R,Jemaine Clement,"Jemaine Clement, Taika Waititi, Cori Gonzalez-Macuer, Jonny Brugh",175075,2014,3.33,Comedy
The Attorney,127,Drama,7.7,Not Rated,WooSuk Yang,"Kang-ho Song, Kwang Soo Cha, Kwak Do-won, Han Gi-Joong",6224,2013,0.56,Drama
When Marnie Was There,103,"Animation, Drama, Family",7.7,PG,Hiromasa Yonebayashi,"Sara Takatsuki, Kasumi Arimura, Nanako Matsushima, Susumu Terajima",38272,2014,0.77,Animation
Gett,115,Drama,7.7,Not Rated,Ronit Elkabetz,"Ronit Elkabetz, Simon Abkarian, Gabi Amrani, Dalia Beger",6433,2014,0.99,Drama
The Theory of Everything,123,"Biography, Drama, Romance",7.7,PG-13,James Marsh,"Eddie Redmayne, Felicity Jones, Tom Prior, Sophie Perry",435494,2014,35.89,Biography
Madras Cafe,130,"Action, Drama, Thriller",7.7,Not Rated,Shoojit Sircar,"Nargis Fakhri, Raashi Khanna, John Abraham, Prakash Belawadi",24229,2013,0.0,Action
Kingsman: The Secret Service,129,"Action, Adventure, Comedy",7.7,R,Matthew Vaughn,"Colin Firth, Taron Egerton, Samuel L. Jackson, Michael Caine",639755,2014,128.26,Action
The Beautiful Risk,91,"Drama, Romance",7.7,Not Rated,Mark Penney,"Shaun Benson, Eliane Gagnon, Michel Perron, Marc-André Boulanger",11600,2013,0.04,Drama
The Butterfly's Dream,138,"Biography, Drama, History",7.7,Not Rated,Ismail Ciydem,"Kivanç Tatlitug, Mert Firat, Belçim Bilgin, Farah Zeynep Abdullah",21793,2013,0.0,Biography
The Fault in Our Stars,126,"Drama, Romance",7.7,PG-13,Josh Boone,"Shailene Woodley, Ansel Elgort, Nat Wolff, Laura Dern",365301,2014,124.87,Drama
Me and Earl and the Dying Girl,105,"Comedy, Drama",7.7,PG-13,Alfonso Gomez-Rejon,"Thomas Mann, RJ Cyler, Olivia Cooke, Nick Offerman",129177,2015,6.74,Comedy
Birdman or (The Unexpected Virtue of Ignorance),119,"Comedy, Drama",7.7,R,Alejandro G. Iñárritu,"Michael Keaton, Zach Galifianakis, Edward Norton, Andrea Riseborough",612672,2014,42.34,Comedy
The Past,130,"Drama, Mystery",7.7,PG-13,Asghar Farhadi,"Bérénice Bejo, Tahar Rahim, Ali Mosaffa, Pauline Burlet",48207,2013,1.33,Drama
Road to Ninja - Naruto the Movie,109,"Animation, Action, Adventure",7.7,TV-14,Hayato Date,"Junko Takeuchi, Chie Nakamura, Toshiyuki Morikawa, Emi Shinohara",6883,2012,0.0,Animation
Blue Is the Warmest Colour,180,"Drama, Romance",7.7,NC-17,Abdellatif Kechiche,"Léa Seydoux, Adèle Exarchopoulos, Salim Kechiouche, Aurélien Recoing",147946,2013,2.2,Drama
Nanban,188,"Comedy, Drama",7.7,Not Rated,S. Shankar,"Thalapathy Vijay, Jiiva, Srikanth, Ileana D'Cruz",14871,2012,0.0,Comedy
The Third Half,113,"Drama, History, Romance",7.7,Not Rated,Darko Mitrevski,"Katarina Ivanovska, Sasko Kocev, Richard Sammel, Rade Serbedzija",8269,2012,0.0,Drama
The Broken Circle Breakdown,111,"Drama, Music, Romance",7.7,Not Rated,Felix van Groeningen,"Veerle Baetens, Johan Heldenbergh, Nell Cattrysse, Geert Van Rampelberg",40807,2012,0.18,Drama
Toy Story 4,100,"Animation, Adventure, Comedy",7.7,G,Josh Cooley,"Tom Hanks, Tim Allen, Annie Potts, Tony Hale",233430,2019,434.04,Animation
Captain America: The Winter Soldier,136,"Action, Adventure, Sci-Fi",7.7,PG-13,Anthony Russo,"Chris Evans, Samuel L. Jackson, Scarlett Johansson, Robert Redford",804541,2014,259.77,Action
Rockstar,159,"Drama, Music, Romance",7.7,Not Rated,Imtiaz Ali,"Ranbir Kapoor, Nargis Fakhri, Shammi Kapoor, Kumud Mishra",43128,2011,0.99,Drama
Nebraska,115,"Adventure, Comedy, Drama",7.7,R,Alexander Payne,"Bruce Dern, Will Forte, June Squibb, Bob Odenkirk",116622,2013,17.65,Adventure
Wreck-It Ralph,101,"Animation, Adventure, Comedy",7.7,PG,Rich Moore,"John C. Reilly, Jack McBrayer, Jane Lynch, Sarah Silverman",406540,2012,189.42,Animation
The Little Prince,108,"Animation, Adventure, Drama",7.7,PG,Mark Osborne,"Jeff Bridges, Mackenzie Foy, Rachel McAdams, Marion Cotillard",60656,2015,1.34,Animation
All You Can Dream,79,"Comedy, Drama, Family",7.7,Not Rated,Valerio Zanoli,"Anastacia, Hali Mason, Laural Merlington, Lynn Shackelford",8932,2012,0.0,Comedy
Hell,149,"Action, Comedy, Crime",7.7,NC-17,Luis Estrada,"Damián Alcázar, Joaquín Cosio, Ernesto Gómez Cruz, María Rojo",9834,2010,0.0,Action
Detachment,98,Drama,7.7,Not Rated,Tony Kaye,"Adrien Brody, Christina Hendricks, Marcia Gay Harden, Lucy Liu",82866,2011,0.07,Drama
Laurence Anyways,168,"Drama, Romance",7.7,Not Rated,Xavier Dolan,"Melvil Poupaud, Emmanuel Schwartz, Suzanne Clément, Nathalie Baye",20096,2012,0.0,Drama
My Way,137,"Action, Drama, War",7.7,R,Je-kyu Kang,"Jang Dong-Gun, Joe Odagiri, Bingbing Fan, Kim In-kwon",11489,2011,0.07,Action
